#         t          x          y          z         vx         vy         vz
       0.0000     -98.4500    -120.0300    -127.8100     -27.7000     174.1200      92.4900
       0.0010     -98.4435    -119.8142    -127.6729      40.7602     257.5142     181.6387
       0.0020     -98.3684    -119.5149    -127.4466     109.4459     341.0381     270.9916
       0.0030     -98.2244    -119.1320    -127.1308     178.4342     424.7840     360.6482
       0.0040     -98.0113    -118.6652    -126.7251     247.8039     508.8458     450.7098
       0.0050     -97.7286    -118.1141    -126.2291     317.6362     593.3193     541.2802
       0.0060     -97.3758    -117.4783    -125.6423     388.0148     678.3028     632.4665
       0.0070     -96.9522    -116.7572    -124.9638     459.0271     763.8983     724.3798
       0.0080     -96.4573    -115.9501    -124.1931     530.7645     850.2116     817.1357
       0.0090     -95.8903    -115.0563    -123.3291     603.3231     937.3534     910.8556
       0.0100     -95.2502    -114.0750    -122.3708     676.8046    1025.4399    1005.6674
       0.0110     -94.5362    -113.0049    -121.3171     751.3171    1114.5943    1101.7068
       0.0120     -93.7470    -111.8452    -120.1667     826.9763    1204.9474    1199.1182
       0.0130     -92.8816    -110.5944    -118.9181     903.9062    1296.6389    1298.0566
       0.0140     -91.9385    -109.2511    -117.5698     982.2409    1389.8189    1398.6884
       0.0150     -90.9163    -107.8139    -116.1198    1062.1260    1484.6497    1501.1943
       0.0160     -89.8134    -106.2809    -114.5663    1143.7201    1581.3071    1605.7704
       0.0170     -88.6280    -104.6503    -112.9071    1227.1971    1679.9832    1712.6315
       0.0180     -87.3580    -102.9198    -111.1398    1312.7487    1780.8887    1822.0136
       0.0190     -86.0013    -101.0873    -109.2617    1400.5872    1884.2561    1934.1774
       0.0200     -84.5555     -99.1500    -107.2699    1490.9491    1990.3428    2049.4129
       0.0210     -83.0180     -97.1051    -105.1612    1584.0992    2099.4363    2168.0439
       0.0220     -81.3858     -94.9494    -102.9320    1680.3358    2211.8587    2290.4346
       0.0230     -79.6556     -92.6795    -100.5782    1779.9970    2327.9737    2416.9966
       0.0240     -77.8239     -90.2914     -98.0956    1883.4686    2448.1944    2548.1989
       0.0250     -75.8866     -87.7808     -95.4792    1991.1935    2572.9928    2684.5786
       0.0260     -73.8391     -85.1429     -92.7236    2103.6845    2702.9128    2826.7562
       0.0270     -71.6765     -82.3721     -89.8225    2221.5398    2838.5857    2975.4537
       0.0280     -69.3930     -79.4625     -86.7690    2345.4632    2980.7503    3131.5189
       0.0290     -66.9821     -76.4070     -83.5553    2476.2912    3130.2796    3295.9566
       0.0300     -64.4365     -73.1977     -80.1723    2615.0285    3288.2158    3469.9708
       0.0310     -61.7475     -69.8257     -76.6098    2762.8964    3455.8168    3655.0207
       0.0320     -58.9054     -66.2805     -72.8558    2921.3998    3634.6215    3852.8993
       0.0330     -55.8985     -62.5499     -68.8965    3092.4223    3826.5392    4065.8432
       0.0340     -52.7131     -58.6196     -64.7152    3278.3640    4033.9801    4296.6931
       0.0350     -49.3327     -54.4726     -60.2923    3482.3491    4260.0466    4549.1326
       0.0360     -45.7373     -50.0882     -55.6037    3708.5485    4508.8276    4828.0599
       0.0370     -41.9016     -45.4408     -50.6196    3962.7066    4785.8676    5140.1919
       0.0380     -37.7938     -40.4984     -45.3019    4253.0492    5098.9575    5495.1041
       0.0390     -33.3712     -35.2192     -39.6008    4591.9693    5459.5592    5907.1578
       0.0400     -28.5755     -29.5466     -33.4475    4999.4780    5885.6122    6399.4518
       0.0410     -23.3201     -23.3999     -26.7412    5511.3148    6407.8129    7013.1656
       0.0420     -17.4632     -16.6527     -19.3170    6202.5152    7086.6274    7835.1199
       0.0430     -10.7188      -9.0714     -10.8408    7286.3646    8075.9460    9117.2933
       0.0440      -2.0343      -0.0008      -0.0264   10082.5639   10065.0901   12511.5707
       0.0450       7.1858       8.6211      10.0538    8357.7094    7178.8186    7648.8708
       0.0460      14.9858      15.2007      16.9377    7242.2962    5980.3893    6118.9114
       0.0470      21.8277      20.7896      22.5976    6441.4487    5197.4497    5200.9311
       0.0480      27.9522      25.6911      27.4656    5807.4670    4605.4849    4534.8849
       0.0490      33.4947      30.0562      31.7367    5277.5736    4124.7420    4007.3815
       0.0500      38.5430      33.9771      35.5243    4818.9746    3717.0991    3567.8137
       0.0510      43.1585      37.5163      38.9027    4412.1842    3361.1348    3188.9869
       0.0520      47.3869      40.7186      41.9244    4044.5947    3043.5231    2854.5109
       0.0530      51.2630      43.6180      44.6285    3707.5377    2755.3703    2553.7034
       0.0540      54.8141      46.2409      47.0450    3394.7724    2490.4239    2279.1942
       0.0550      58.0624      48.6082      49.1974    3101.6382    2244.1059    2025.6705
       0.0560      61.0254      50.7367      51.1048    2824.5477    2012.9526    1789.1651
       0.0570      63.7181      52.6403      52.7827    2560.6661    1794.2695    1566.6284
       0.0580      66.1522      54.3304      54.2439    2307.7012    1585.9090    1355.6563
       0.0590      68.3380      55.8164      55.4989    2063.7596    1386.1219    1154.3112
       0.0600      70.2835      57.1062      56.5565    1827.2455    1193.4548     960.9996
       0.0610      71.9955      58.2063      57.4242    1596.7877    1006.6761     774.3857
       0.0620      73.4795      59.1220      58.1081    1371.1847     824.7231     593.3290
       0.0630      74.7397      59.8577      58.6132    1149.3632     646.6609     416.8385
       0.0640      75.7796      60.4168      58.9436     930.3454     471.6517     244.0366
       0.0650      76.6014      60.8021      59.1027     713.2216     298.9299      74.1322
       0.0660      77.2066      61.0155      59.0929     497.1280     127.7814     -93.6020
       0.0670      77.5957      61.0581      58.9162     281.2268     -42.4735    -259.8482
       0.0680      77.7687      60.9307      58.5737      64.6872    -212.4957    -425.2589
       0.0690      77.7244      60.6329      58.0658    -153.3319    -382.9417    -590.4725
       0.0700      77.4609      60.1642      57.3925    -373.7010    -554.4785    -756.1261
       0.0710      76.9753      59.5231      56.5530    -597.3398    -727.7974    -922.8705
       0.0720      76.2640      58.7074      55.5459    -825.2395    -903.6314   -1091.3842
       0.0730      75.3222      57.7142      54.3690   -1058.4903   -1082.7731   -1262.3902
       0.0740      74.1438      56.5397      53.0195   -1298.3134   -1266.0973   -1436.6750
       0.0750      72.7216      55.1794      51.4936   -1546.1028   -1454.5884   -1615.1121
       0.0760      71.0468      53.6274      49.7867   -1803.4790   -1649.3759   -1798.6909
       0.0770      69.1089      51.8768      47.8930   -2072.3606   -1851.7805   -1988.5549
       0.0780      66.8951      49.9193      45.8057   -2355.0622   -2063.3766   -2186.0519
       0.0790      64.3904      47.7445      43.5163   -2654.4326   -2286.0793   -2392.8037
       0.0800      61.5762      45.3403      41.0145   -2974.0541   -2522.2683   -2610.8044
       0.0810      58.4299      42.6917      38.2878   -3318.5410   -2774.9715   -2842.5640
