#         t          x          y          z         vx         vy         vz
       0.0000     -98.4500    -120.0300    -127.8100     -27.7000     174.1200      92.4900
       0.1000    -100.8385    -102.1926    -118.0885     -20.0697     182.6283     101.9402
       0.2000    -102.3647     -83.4904    -107.3588     -10.4538     191.4152     112.6540
       0.3000    -102.7958     -63.9076     -95.4831       1.8307     200.2410     124.8592
       0.4000    -101.8173     -43.4661     -82.3020      17.7394     208.5893     138.7632
       0.5000     -99.0025     -22.2664     -67.6427      38.5571     215.4034     154.4219
       0.6000     -93.7854      -0.5649     -51.3519      65.7849     218.6279     171.3959
       0.7000     -85.4763      21.0997     -33.3817     100.3972     214.6630     188.0068
       0.8000     -73.4238      41.7696     -13.9634     140.6521     198.7361     200.3603
       0.9000     -57.4245      60.1369       6.2092     179.3335     168.6104     203.0905
       1.0000     -38.1334      75.0767      26.0390     206.4893     130.1851     193.5061
       1.1000     -16.8495      86.2325      44.5586     219.1877      92.9306     176.8865
       1.2000       5.1697      93.9749      61.3254     221.1978      61.9179     158.4495
       1.3000      27.0869      98.9552      76.2989     217.1465      37.6872     141.0199
       1.4000      48.4511     101.7924      89.6260     210.1364      19.0573     125.5214
       1.5000      69.0519     102.9787     101.5030     201.8800       4.6690     112.0198
       1.6000      88.8087     102.8833     112.1188     193.2552      -6.5784     100.2950
       1.7000     107.7062     101.7796     121.6371     184.6946     -15.4940      90.0710
       1.8000     125.7610      99.8721     130.1952     176.4013     -22.6571      81.0929
       1.9000     143.0041      97.3151     137.9072     168.4614     -28.4825      73.1462
       2.0000     159.4722      94.2275     144.8673     160.9012     -33.2699      66.0567
       2.1000     175.2032      90.7020     151.1544     153.7174     -37.2395      59.6842
       2.2000     190.2336      86.8123     156.8344     146.8919     -40.5550      53.9161
       2.3000     204.5983      82.6175     161.9633     140.4010     -43.3404      48.6615
       2.4000     218.3292      78.1660     166.5887     134.2185     -45.6907      43.8467
       2.5000     231.4561      73.4974     170.7516     128.3189     -47.6800      39.4113
       2.6000     244.0059      68.6451     174.4874     122.6776     -49.3665      35.3057
       2.7000     256.0034      63.6369     177.8271     117.2721     -50.7966      31.4883
       2.8000     267.4711      58.4967     180.7978     112.0817     -52.0076      27.9246
       2.9000     278.4296      53.2448     183.4233     107.0876     -53.0299      24.5854
       3.0000     288.8976      47.8989     185.7248     102.2726     -53.8883      21.4459
       3.1000     298.8923      42.4744     187.7214      97.6215     -54.6034      18.4847
       3.2000     308.4294      36.9846     189.4298      93.1203     -55.1923      15.6838
       3.3000     317.5232      31.4415     190.8654      88.7565     -55.6693      13.0273
       3.4000     326.1870      25.8557     192.0418      84.5186     -56.0466      10.5014
       3.5000     334.4327      20.2367     192.9716      80.3964     -56.3342       8.0943
       3.6000     342.2716      14.5929     193.6661      76.3804     -56.5409       5.7952
       3.7000     349.7137       8.9322     194.1356      72.4620     -56.6741       3.5951
       3.8000     356.7685       3.2614     194.3896      68.6334     -56.7402       1.4855
       3.9000     363.4445      -2.4128     194.4368      64.8874     -56.7446      -0.5408
       4.0000     369.7497      -8.0846     194.2853      61.2173     -56.6920      -2.4903
