#         t          x          y          z         vx         vy         vz
       0.0000     -98.4500    -120.0300    -127.8100     -27.7000     174.1200      92.4900
       0.5000     -97.6387     -22.3262     -66.9310      30.9452     216.6952     151.0260
       1.0000     -38.1643      70.4339      23.1853     206.9524     154.3453     209.4394
       1.5000      62.0070     121.0626     109.3781     193.7328      48.1695     135.3315
       2.0000     151.6694     136.4649     167.6736     164.9167      13.4398      97.8507
       2.5000     228.5908     139.1713     211.0725     142.7691      -2.6142      75.7450
       3.0000     295.6609     135.6029     245.1839     125.5114     -11.6594      60.7008
       3.5000     354.9045     128.3483     272.7344     111.4629     -17.3592      49.5009
       4.0000     407.6696     118.7076     295.2726      99.5976     -21.2033      40.6519
       4.5000     454.8898     107.4299     313.7756      89.2830     -23.9075      33.3604
       5.0000     497.2381      94.9887     328.9063      80.1104     -25.8576      27.1623
       5.5000     535.2164      81.7044     341.1382      71.8027     -27.2793      21.7652
       6.0000     569.2080      67.8062     350.8231      64.1640     -28.3134      16.9746
       6.5000     599.5117      53.4650     358.2305      57.0508     -29.0515      12.6549
       7.0000     626.3630      38.8132     363.5713      50.3542     -29.5556       8.7083
       7.5000     649.9489      23.9572     367.0137      43.9894     -29.8686       5.0616
       8.0000     670.4183       8.9848     368.6939      37.8884     -30.0208       1.6590
       8.5000     687.8891      -6.0288     368.7228      31.9949     -30.0337      -1.5434
       9.0000     702.4533     -21.0178     367.1918      26.2616     -29.9221      -4.5808
       9.5000     714.1804     -35.9224     364.1760      20.6470     -29.6965      -7.4821
      10.0000     723.1207     -50.6873     359.7377      15.1142     -29.3631     -10.2713
