#         t          x          y          z         vx         vy         vz
       5.0000    8551.8038     450.8209    5231.6914    1814.2328      93.2467    1108.0497
       5.0714    8681.3891     457.4813    5310.8361    1814.1564      93.2426    1108.0030
       5.1429    8810.9691     464.1413    5389.9776    1814.0823      93.2387    1107.9577
       5.2143    8940.5438     470.8011    5469.1158    1814.0103      93.2349    1107.9136
       5.2857    9070.1135     477.4606    5548.2510    1813.9404      93.2313    1107.8708
       5.3571    9199.6782     484.1199    5627.3831    1813.8724      93.2277    1107.8292
       5.4286    9329.2382     490.7789    5706.5124    1813.8063      93.2242    1107.7888
       5.5000    9458.7935     497.4376    5785.6387    1813.7419      93.2208    1107.7494
       5.5714    9588.3442     504.0961    5864.7623    1813.6794      93.2175    1107.7112
       5.6429    9717.8906     510.7544    5943.8832    1813.6184      93.2143    1107.6739
       5.7143    9847.4326     517.4125    6023.0015    1813.5591      93.2112    1107.6376
       5.7857    9976.9705     524.0703    6102.1172    1813.5013      93.2082    1107.6022
       5.8571   10106.5043     530.7279    6181.2304    1813.4450      93.2052    1107.5678
       5.9286   10236.0341     537.3853    6260.3412    1813.3901      93.2023    1107.5342
       6.0000   10365.5601     544.0425    6339.4496    1813.3365      93.1995    1107.5015
       6.0714   10495.0822     550.6995    6418.5557    1813.2843      93.1968    1107.4695
       6.1429   10624.6007     557.3564    6497.6596    1813.2333      93.1941    1107.4383
       6.2143   10754.1156     564.0130    6576.7612    1813.1836      93.1915    1107.4079
       6.2857   10883.6270     570.6694    6655.8607    1813.1350      93.1890    1107.3782
       6.3571   11013.1349     577.3257    6734.9581    1813.0876      93.1865    1107.3492
       6.4286   11142.6395     583.9818    6814.0535    1813.0412      93.1840    1107.3209
       6.5000   11272.1409     590.6377    6893.1469    1812.9960      93.1817    1107.2932
       6.5714   11401.6390     597.2935    6972.2383    1812.9517      93.1793    1107.2661
       6.6429   11531.1340     603.9490    7051.3277    1812.9085      93.1771    1107.2397
       6.7143   11660.6260     610.6045    7130.4154    1812.8662      93.1749    1107.2138
       6.7857   11790.1149     617.2597    7209.5012    1812.8248      93.1727    1107.1885
       6.8571   11919.6010     623.9149    7288.5852    1812.7843      93.1706    1107.1637
       6.9286   12049.0841     630.5698    7367.6674    1812.7447      93.1685    1107.1395
       7.0000   12178.5645     637.2246    7446.7480    1812.7059      93.1665    1107.1158
       7.0714   12308.0421     643.8793    7525.8269    1812.6679      93.1645    1107.0926
       7.1429   12437.5171     650.5339    7604.9041    1812.6307      93.1625    1107.0699
       7.2143   12566.9894     657.1883    7683.9797    1812.5943      93.1606    1107.0476
       7.2857   12696.4592     663.8425    7763.0538    1812.5586      93.1588    1107.0258
       7.3571   12825.9264     670.4967    7842.1263    1812.5237      93.1569    1107.0044
       7.4286   12955.3912     677.1507    7921.1973    1812.4894      93.1552    1106.9834
       7.5000   13084.8535     683.8045    8000.2668    1812.4558      93.1534    1106.9629
       7.5714   13214.3134     690.4583    8079.3348    1812.4229      93.1517    1106.9428
       7.6429   13343.7711     697.1119    8158.4015    1812.3906      93.1500    1106.9230
       7.7143   13473.2264     703.7654    8237.4667    1812.3589      93.1483    1106.9036
       7.7857   13602.6795     710.4188    8316.5306    1812.3278      93.1467    1106.8846
       7.8571   13732.1304     717.0721    8395.5931    1812.2973      93.1451    1106.8660
       7.9286   13861.5791     723.7253    8474.6543    1812.2674      93.1436    1106.8477
       8.0000   13991.0258     730.3783    8553.7142    1812.2380      93.1420    1106.8297
       8.0714   14120.4703     737.0313    8632.7728    1812.2092      93.1405    1106.8121
       8.1429   14249.9128     743.6841    8711.8302    1812.1809      93.1390    1106.7948
       8.2143   14379.3533     750.3369    8790.8864    1812.1531      93.1376    1106.7778
       8.2857   14508.7918     756.9895    8869.9414    1812.1257      93.1362    1106.7611
       8.3571   14638.2284     763.6420    8948.9951    1812.0989      93.1348    1106.7447
       8.4286   14767.6631     770.2945    9028.0477    1812.0725      93.1334    1106.7286
       8.5000   14897.0959     776.9468    9107.0992    1812.0466      93.1320    1106.7127
       8.5714   15026.5269     783.5990    9186.1496    1812.0212      93.1307    1106.6972
       8.6429   15155.9561     790.2512    9265.1988    1811.9961      93.1294    1106.6818
       8.7143   15285.3835     796.9032    9344.2470    1811.9715      93.1281    1106.6668
       8.7857   15414.8092     803.5552    9423.2941    1811.9473      93.1269    1106.6520
       8.8571   15544.2332     810.2071    9502.3401    1811.9235      93.1256    1106.6375
       8.9286   15673.6555     816.8589    9581.3852    1811.9001      93.1244    1106.6232
       9.0000   15803.0761     823.5106    9660.4292    1811.8771      93.1232    1106.6091
       9.0714   15932.4950     830.1622    9739.4722    1811.8544      93.1220    1106.5952
       9.1429   16061.9124     836.8137    9818.5142    1811.8322      93.1209    1106.5816
       9.2143   16191.3282     843.4651    9897.5553    1811.8102      93.1197    1106.5682
       9.2857   16320.7425     850.1165    9976.5954    1811.7886      93.1186    1106.5550
       9.3571   16450.1552     856.7678   10055.6346    1811.7674      93.1175    1106.5420
       9.4286   16579.5664     863.4190   10134.6728    1811.7465      93.1164    1106.5292
       9.5000   16708.9761     870.0701   10213.7102    1811.7259      93.1153    1106.5166
       9.5714   16838.3844     876.7212   10292.7466    1811.7056      93.1143    1106.5042
       9.6429   16967.7912     883.3722   10371.7822    1811.6856      93.1132    1106.4920
       9.7143   17097.1966     890.0231   10450.8169    1811.6660      93.1122    1106.4800
       9.7857   17226.6007     896.6739   10529.8508    1811.6466      93.1112    1106.4682
       9.8571   17356.0033     903.3247   10608.8838    1811.6275      93.1102    1106.4565
       9.9286   17485.4046     909.9754   10687.9160    1811.6087      93.1092    1106.4450
      10.0000   17614.8046     916.6260   10766.9474    1811.5902      93.1083    1106.4337
      10.0714   17744.2032     923.2766   10845.9780    1811.5719      93.1073    1106.4225
