#         t          x          y          z         vx         vy         vz
       0.0000     -98.4500    -120.0300    -127.8100     -27.7000     174.1200      92.4900
       0.0100     -98.3813    -117.8710    -126.4370      41.4384     257.6845     182.1167
       0.0200     -97.6096    -114.8698    -124.1572     112.9065     342.5534     273.8304
       0.0300     -96.1067    -111.0083    -120.9441     187.6774     429.7381     368.7923
       0.0400     -93.8335    -106.2576    -116.7582     266.9482     520.4132     468.3873
       0.0500     -90.7375    -100.5754    -111.5445     352.2628     616.0180     574.3561
       0.0600     -86.7476     -93.9033    -105.2277     445.7102     718.4127     689.0005
       0.0700     -81.7677     -86.1605     -97.7051     550.2647     830.1324     815.5295
       0.0800     -75.6643     -77.2357     -88.8340     670.4158     954.8353     958.6872
       0.0900     -68.2450     -66.9707     -78.4106     813.4468    1098.1615    1125.9968
       0.1000     -59.2160     -55.1321     -66.1279     992.3604    1269.5540    1330.5312
       0.1100     -48.0850     -41.3509     -51.4844    1233.8467    1486.6940    1598.1797
       0.1200     -33.8805     -24.9740     -33.5310    1607.0431    1788.6777    1992.4969
       0.1300     -13.7918      -4.5949      -9.7563    2410.7032    2287.1513    2762.4396
       0.1400      16.3060      -5.2999      -4.5535    3608.8565   -2428.1488   -1721.8747
       0.1500      47.5328     -27.1129     -19.7353    2636.5083   -1934.4600   -1314.4812
       0.1600      71.6616     -45.1026     -31.8822    2189.2422   -1663.4780   -1114.9099
       0.1700      92.1311     -60.8172     -42.3752    1904.6618   -1479.4483    -983.6798
       0.1800     110.1462     -74.9195     -51.7263    1698.3612   -1341.0117    -886.5570
       0.1900     126.3256     -87.7763     -60.2077    1537.5097   -1230.3437    -809.7109
       0.2000     141.0435     -99.6191     -67.9873    1406.0661   -1138.2166    -746.2058
       0.2100     154.5491    -110.6065     -75.1787    1295.0581   -1059.2676    -692.0883
       0.2200     167.0193    -120.8535     -81.8637    1198.9900    -990.1193    -644.9013
       0.2300     178.5856    -130.4466     -88.1033    1114.2664    -928.5141    -603.0185
       0.2400     189.3490    -139.4536     -93.9449    1038.4145    -872.8726    -565.3106
       0.2500     199.3894    -147.9282     -99.4263     969.6649    -822.0482    -530.9629
       0.2600     208.7713    -155.9143    -104.5780     906.7105    -775.1838    -499.3693
       0.2700     217.5476    -163.4484    -109.4251     848.5596    -731.6220    -470.0670
       0.2800     225.7627    -170.5607    -113.9890     794.4430    -690.8482    -442.6952
       0.2900     233.4536    -177.2772    -118.2873     743.7521    -652.4519    -416.9669
       0.3000     240.6524    -183.6200    -122.3354     695.9978    -616.1005    -392.6503
       0.3100     247.3863    -189.6081    -126.1464     650.7807    -581.5207    -369.5555
       0.3200     253.6790    -195.2581    -129.7318     607.7708    -548.4849    -347.5247
       0.3300     259.5513    -200.5846    -133.1015     566.6917    -516.8016    -326.4254
       0.3400     265.0214    -205.6001    -136.2644     527.3099    -486.3077    -306.1452
       0.3500     270.1050    -210.3160    -139.2281     489.4260    -456.8631    -286.5876
       0.3600     274.8165    -214.7420    -141.9993     452.8679    -428.3465    -267.6693
       0.3700     279.1683    -218.8870    -144.5843     417.4861    -400.6516    -249.3174
       0.3800     283.1714    -222.7587    -146.9882     383.1497    -373.6848    -231.4678
       0.3900     286.8359    -226.3639    -149.2159     349.7428    -347.3627    -214.0637
       0.4000     290.1704    -229.7088    -151.2714     317.1623    -321.6107    -197.0544
       0.4100     293.1828    -232.7986    -153.1587     285.3158    -296.3614    -180.3940
       0.4200     295.8800    -235.6382    -154.8809     254.1199    -271.5537    -164.0411
       0.4300     298.2681    -238.2316    -156.4409     223.4984    -247.1311    -147.9577
       0.4400     300.3525    -240.5825    -157.8412     193.3816    -223.0419    -132.1086
       0.4500     302.1379    -242.6939    -159.0840     163.7052    -199.2375    -116.4615
       0.4600     303.6285    -244.5685    -160.1713     134.4092    -175.6726    -100.9859
       0.4700     304.8277    -246.2083    -161.1045     105.4374    -152.3041     -85.6530
       0.4800     305.7386    -247.6153    -161.8849      76.7366    -129.0910     -70.4354
       0.4900     306.3636    -248.7907    -162.5136      48.2560    -105.9937     -55.3071
       0.5000     306.7046    -249.7356    -162.9914      19.9470     -82.9737     -40.2425
       0.5100     306.7631    -250.4504    -163.3187      -8.2377     -59.9936     -25.2168
       0.5200     306.5402    -250.9355    -163.4958     -36.3442     -37.0160     -10.2057
       0.5300     306.0364    -251.1906    -163.5227     -64.4183     -14.0038       4.8153
       0.5400     305.2518    -251.2152    -163.3993     -92.5051       9.0802      19.8703
       0.5500     304.1860    -251.0084    -163.1250    -120.6503      32.2740      34.9840
       0.5600     302.8383    -250.5690    -162.6992    -148.9000      55.6164      50.1816
       0.5700     301.2073    -249.8951    -162.1209    -177.3013      79.1475      65.4890
       0.5800     299.2912    -248.9848    -161.3887    -205.9029     102.9090      80.9329
       0.5900     297.0879    -247.8356    -160.5014    -234.7554     126.9449      96.5416
       0.6000     294.5946    -246.4443    -159.4569    -263.9118     151.3015     112.3448
       0.6100     291.8079    -244.8077    -158.2533    -293.4281     176.0285     128.3741
       0.6200     288.7239    -242.9217    -156.8882    -323.3643     201.1791     144.6634
       0.6300     285.3382    -240.7817    -155.3586    -353.7845     226.8112     161.2493
       0.6400     281.6455    -238.3827    -153.6615    -384.7585     252.9877     178.1718
       0.6500     277.6399    -235.7189    -151.7933    -416.3624     279.7780     195.4747
       0.6600     273.3147    -232.7837    -149.7498    -448.6796     307.2589     213.2065
       0.6700     268.6623    -229.5698    -147.5267    -481.8031     335.5161     231.4211
       0.6800     263.6741    -226.0690    -145.1187    -515.8365     364.6460     250.1790
       0.6900     258.3404    -222.2720    -142.5201    -550.8963     394.7577     269.5488
       0.7000     252.6503    -218.1683    -139.7243    -587.1150     425.9759     289.6084
       0.7100     246.5915    -213.7462    -136.7240    -624.6442     458.4439     310.4476
       0.7200     240.1500    -208.9924    -133.5109    -663.6588     492.3284     332.1703
       0.7300     233.3099    -203.8916    -130.0756    -704.3627     527.8245     354.8981
       0.7400     226.0531    -198.4267    -126.4072    -746.9956     565.1631     378.7749
       0.7500     218.3589    -192.5777    -122.4935    -791.8426     604.6206     403.9722
       0.7600     210.2035    -186.3220    -118.3201    -839.2466     646.5313     430.6975
       0.7700     201.5591    -179.6328    -113.8706    -889.6254     691.3056     459.2048
       0.7800     192.3935    -172.4790    -109.1255    -943.4952     739.4540     489.8097
       0.7900     182.6685    -164.8236    -104.0619   -1001.5043     791.6230     522.9109
       0.8000     172.3386    -156.6223     -98.6523   -1064.4820     848.6470     559.0218
       0.8100     161.3486    -147.8209     -92.8631   -1133.5120     911.6272     598.8187
       0.8200     149.6308    -138.3525     -86.6529   -1210.0469     982.0571     643.2160
       0.8300     137.1001    -128.1320     -79.9694   -1296.0936    1062.0280     693.4905
       0.8400     123.6470    -117.0490     -72.7444   -1394.5297    1154.5876     751.4962
       0.8500     109.1260    -104.9540     -64.8866   -1509.6785    1264.4087     820.0646
       0.8600      93.3354     -91.6362     -56.2672   -1648.4426    1399.1488     903.8133
       0.8700      75.9792     -76.7776     -46.6932   -1822.7909    1572.5695    1010.9938
       0.8800      56.5847     -59.8495     -35.8457   -2056.1163    1813.0467    1158.5078
       0.8900      34.2848     -39.8121     -23.1028   -2403.8584    2194.4350    1390.0791
       0.9000       6.9736     -13.6288      -6.6479   -3058.3832    3042.2244    1900.8864
       0.9100       2.5489      11.8175      -4.6424    2173.4538    2047.0338   -1499.7749
       0.9200      20.3587      25.8365     -15.6372    1388.4904     756.7656    -699.1893
       0.9300      31.0788      29.9705     -20.2811     755.5322      70.0388    -229.5922
       0.9400      35.5830      28.0168     -20.6119     145.3092    -460.7778     163.4316
       0.9500      33.5368      20.9309     -16.9680    -554.5521    -956.3905     565.3581
       0.9600      22.8481       8.6673      -8.7349   -1583.1717   -1496.3453    1081.2554
       0.9700      -9.4746      -7.6055       8.2890   -4881.3776   -1758.2050    2323.5152
       0.9800     -53.9721     -23.0987      28.8417   -4018.1179   -1340.4416    1787.0288
       0.9900     -92.2358     -35.7316      45.7158   -3634.6337   -1186.1374    1587.7959
       1.0000    -127.4285     -47.1577      61.0272   -3403.9062   -1099.0735    1474.4916
       1.0100    -160.6765     -57.8600      75.3948   -3245.6831   -1041.3993    1399.0233
       1.0200    -192.5484     -68.0655      89.1111   -3128.7105    -999.6983    1344.2420
       1.0300    -223.3813     -77.9031     102.3435   -3037.8669    -967.8171    1302.2370
       1.0400    -253.3947     -87.4546     115.1986   -2964.8066    -942.4780    1268.7741
       1.0500    -282.7412     -96.7757     127.7492   -2904.4919    -921.7523    1241.3526
       1.0600    -311.5320    -105.9066     140.0479   -2853.6765    -904.4213    1218.3870
       1.0700    -339.8512    -114.8771     152.1339   -2810.1613    -889.6720    1198.8171
       1.0800    -367.7640    -123.7101     164.0376   -2772.3966    -876.9388    1181.9035
       1.0900    -395.3223    -132.4239     175.7826   -2739.2548    -865.8146    1167.1128
       1.1000    -422.5680    -141.0329     187.3884   -2709.8934    -855.9978    1154.0493
       1.1100    -449.5358    -149.5492     198.8708   -2683.6687    -847.2598    1142.4127
       1.1200    -476.2546    -157.9826     210.2427   -2660.0794    -839.4238    1131.9704
       1.1300    -502.7486    -166.3415     221.5152   -2638.7284    -832.3507    1122.5389
       1.1400    -529.0387    -174.6329     232.6978   -2619.2970    -825.9292    1113.9718
       1.1500    -555.1428    -182.8629     243.7984   -2601.5256    -820.0693    1106.1500
       1.1600    -581.0765    -191.0367     254.8240   -2585.2009    -814.6973    1098.9762
       1.1700    -606.8532    -199.1590     265.7807   -2570.1456    -809.7521    1092.3696
       1.1800    -632.4850    -207.2337     276.6739   -2556.2107    -805.1827    1086.2628
       1.1900    -657.9824    -215.2643     287.5082   -2543.2706    -800.9461    1080.5987
       1.2000    -683.3548    -223.2541     298.2878   -2531.2180    -797.0058    1075.3290
       1.2100    -708.6107    -231.2057     309.0166   -2519.9611    -793.3305    1070.4123
       1.2200    -733.7576    -239.1219     319.6977   -2509.4204    -789.8934    1065.8129
       1.2300    -758.8024    -247.0047     330.3342   -2499.5271    -786.6712    1061.4999
       1.2400    -783.7511    -254.8563     340.9290   -2490.2212    -783.6436    1057.4463
       1.2500    -808.6095    -262.6784     351.4843   -2481.4498    -780.7928    1053.6286
       1.2600    -833.3826    -270.4729     362.0026   -2473.1665    -778.1032    1050.0260
       1.2700    -858.0750    -278.2412     372.4859   -2465.3303    -775.5611    1046.6202
       1.2800    -882.6912    -285.9848     382.9359   -2457.9046    -773.1543    1043.3950
       1.2900    -907.2350    -293.7050     393.3546   -2450.8569    -770.8718    1040.3359
       1.3000    -931.7101    -301.4028     403.7434   -2444.1581    -768.7039    1037.4299
       1.3100    -956.1198    -309.0796     414.1039   -2437.7820    -766.6421    1034.6655
       1.3200    -980.4672    -316.7362     424.4374   -2431.7051    -764.6783    1032.0322
       1.3300   -1004.7553    -324.3736     434.7451   -2425.9061    -762.8056    1029.5206
       1.3400   -1028.9866    -331.9927     445.0284   -2420.3659    -761.0175    1027.1222
       1.3500   -1053.1638    -339.5943     455.2881   -2415.0669    -759.3083    1024.8293
       1.3600   -1077.2891    -347.1792     465.5254   -2409.9932    -757.6728    1022.6349
       1.3700   -1101.3647    -354.7481     475.7413   -2405.1303    -756.1061    1020.5325
       1.3800   -1125.3927    -362.3017     485.9365   -2400.4650    -754.6037    1018.5163
       1.3900   -1149.3750    -369.8405     496.1120   -2395.9851    -753.1619    1016.5810
       1.4000   -1173.3133    -377.3652     506.2685   -2391.6794    -751.7768    1014.7217
       1.4100   -1197.2094    -384.8763     516.4068   -2387.5378    -750.4450    1012.9338
       1.4200   -1221.0648    -392.3744     526.5275   -2383.5506    -749.1635    1011.2133
       1.4300   -1244.8811    -399.8598     536.6314   -2379.7093    -747.9294    1009.5562
       1.4400   -1268.6597    -407.3332     546.7190   -2376.0057    -746.7400    1007.9590
       1.4500   -1292.4019    -414.7948     556.7908   -2372.4324    -745.5930    1006.4184
       1.4600   -1316.1089    -422.2452     566.8476   -2368.9824    -744.4859    1004.9315
       1.4700   -1339.7821    -429.6847     576.8897   -2365.6492    -743.4167    1003.4953
       1.4800   -1363.4225    -437.1137     586.9177   -2362.4270    -742.3835    1002.1073
       1.4900   -1387.0312    -444.5326     596.9321   -2359.3101    -741.3844    1000.7650
       1.5000   -1410.6092    -451.9416     606.9332   -2356.2932    -740.4177     999.4661
       1.5100   -1434.1575    -459.3411     616.9216   -2353.3716    -739.4818     998.2085
       1.5200   -1457.6771    -466.7314     626.8976   -2350.5406    -738.5752     996.9903
       1.5300   -1481.1688    -474.1127     636.8616   -2347.7961    -737.6965     995.8095
       1.5400   -1504.6334    -481.4854     646.8140   -2345.1340    -736.8445     994.6645
       1.5500   -1528.0718    -488.8497     656.7551   -2342.5506    -736.0180     993.5535
       1.5600   -1551.4848    -496.2059     666.6852   -2340.0423    -735.2157     992.4751
       1.5700   -1574.8730    -503.5542     676.6047   -2337.6059    -734.4365     991.4277
       1.5800   -1598.2373    -510.8948     686.5139   -2335.2383    -733.6796     990.4102
       1.5900   -1621.5781    -518.2279     696.4131   -2332.9364    -732.9439     989.4211
       1.6000   -1644.8963    -525.5537     706.3025   -2330.6976    -732.2285     988.4592
       1.6100   -1668.1924    -532.8725     716.1824   -2328.5192    -731.5325     987.5235
       1.6200   -1691.4670    -540.1845     726.0531   -2326.3988    -730.8553     986.6129
       1.6300   -1714.7206    -547.4897     735.9148   -2324.3340    -730.1959     985.7263
       1.6400   -1737.9539    -554.7885     745.7677   -2322.3226    -729.5538     984.8627
       1.6500   -1761.1673    -562.0809     755.6121   -2320.3625    -728.9282     984.0214
       1.6600   -1784.3614    -569.3671     765.4483   -2318.4518    -728.3184     983.2013
       1.6700   -1807.5366    -576.6473     775.2763   -2316.5886    -727.7239     982.4018
       1.6800   -1830.6934    -583.9217     785.0964   -2314.7710    -727.1442     981.6220
       1.6900   -1853.8323    -591.1903     794.9088   -2312.9975    -726.5785     980.8611
       1.7000   -1876.9536    -598.4533     804.7137   -2311.2663    -726.0265     980.1186
       1.7100   -1900.0578    -605.7109     814.5113   -2309.5759    -725.4876     979.3937
       1.7200   -1923.1453    -612.9631     824.3017   -2307.9250    -724.9613     978.6857
       1.7300   -1946.2165    -620.2102     834.0851   -2306.3120    -724.4473     977.9942
       1.7400   -1969.2717    -627.4521     843.8616   -2304.7358    -723.9450     977.3184
       1.7500   -1992.3114    -634.6891     853.6315   -2303.1950    -723.4541     976.6580
       1.7600   -2015.3358    -641.9213     863.3949   -2301.6883    -722.9742     976.0122
       1.7700   -2038.3453    -649.1487     873.1518   -2300.2148    -722.5049     975.3808
       1.7800   -2061.3402    -656.3714     882.9025   -2298.7732    -722.0458     974.7631
       1.7900   -2084.3209    -663.5896     892.6471   -2297.3625    -721.5967     974.1587
       1.8000   -2107.2876    -670.8034     902.3858   -2295.9818    -721.1571     973.5672
       1.8100   -2130.2407    -678.0128     912.1186   -2294.6300    -720.7268     972.9882
       1.8200   -2153.1804    -685.2180     921.8456   -2293.3063    -720.3055     972.4212
       1.8300   -2176.1070    -692.4190     931.5670   -2292.0097    -719.8930     971.8660
       1.8400   -2199.0207    -699.6159     941.2830   -2290.7395    -719.4888     971.3220
       1.8500   -2221.9219    -706.8088     950.9935   -2289.4948    -719.0928     970.7891
       1.8600   -2244.8107    -713.9978     960.6988   -2288.2748    -718.7048     970.2668
       1.8700   -2267.6875    -721.1829     970.3989   -2287.0788    -718.3244     969.7548
       1.8800   -2290.5524    -728.3643     980.0940   -2285.9061    -717.9514     969.2528
       1.8900   -2313.4057    -735.5420     989.7840   -2284.7559    -717.5858     968.7606
       1.9000   -2336.2477    -742.7161     999.4692   -2283.6278    -717.2271     968.2778
       1.9100   -2359.0784    -749.8866    1009.1496   -2282.5209    -716.8752     967.8041
       1.9200   -2381.8982    -757.0536    1018.8253   -2281.4347    -716.5300     967.3394
       1.9300   -2404.7072    -764.2172    1028.4965   -2280.3687    -716.1912     966.8833
       1.9400   -2427.5056    -771.3774    1038.1630   -2279.3222    -715.8586     966.4356
       1.9500   -2450.2937    -778.5344    1047.8252   -2278.2947    -715.5321     965.9960
       1.9600   -2473.0716    -785.6881    1057.4830   -2277.2857    -715.2115     965.5645
       1.9700   -2495.8395    -792.8387    1067.1365   -2276.2947    -714.8967     965.1406
       1.9800   -2518.5976    -799.9861    1076.7859   -2275.3212    -714.5875     964.7243
       1.9900   -2541.3460    -807.1304    1086.4311   -2274.3648    -714.2837     964.3152
       2.0000   -2564.0850    -814.2718    1096.0722   -2273.4249    -713.9852     963.9133
       2.0100   -2586.8146    -821.4102    1105.7094   -2272.5011    -713.6919     963.5184
