#         t          x          y          z         vx         vy         vz
      0.000   -377.710    611.460   -284.630     73.690    -72.290     49.200
      0.071   -372.450    606.260   -281.120     73.490    -75.860     51.870
      0.143   -367.160    600.890   -277.570     74.870    -77.360     51.280
      0.214   -361.750    595.410   -274.000     74.420    -77.680     52.010
      0.286   -356.450    589.880   -270.480     71.760    -79.860     50.970
      0.357   -351.230    584.140   -266.990     70.510    -81.940     49.750
      0.429   -346.180    578.300   -263.570     68.330    -81.820     45.850
      0.500   -341.230    572.240   -260.160     67.790    -83.320     45.010
      0.571   -336.510    566.240   -256.830     66.190    -83.230     44.690
      0.643   -331.970    560.180   -253.450     62.460    -83.090     44.490
      0.714   -327.750    554.310   -250.320     58.010    -82.380     43.930
      0.786   -323.800    548.520   -247.270     52.480    -80.660     43.530
      0.857   -320.230    542.990   -244.380     46.350    -75.350     41.670
      0.929   -316.810    537.670   -241.480     46.120    -71.850     40.180
      1.000   -313.470    532.530   -238.400     44.550    -69.020     44.010
      1.071   -310.300    527.660   -235.120     42.570    -66.190     49.080
      1.143   -307.050    523.000   -231.620     46.030    -64.260     49.890
      1.214   -303.780    518.470   -227.900     47.820    -63.280     54.990
      1.286   -300.380    514.000   -223.890     47.930    -61.420     57.540
      1.357   -296.810    509.700   -219.820     52.290    -60.920     58.940
      1.429   -292.970    505.300   -215.550     55.130    -63.180     63.130
      1.500   -288.890    500.840   -211.090     58.170    -62.560     62.960
      1.571   -284.620    496.350   -206.570     60.800    -63.340     64.280
      1.643   -280.160    491.750   -201.910     64.480    -64.290     64.790
      1.714   -275.500    487.010   -197.090     70.040    -68.160     66.380
      1.786   -270.530    482.120   -192.170     73.970    -69.530     69.210
      1.857   -265.410    477.220   -187.250     75.940    -70.980     69.650
      1.929   -260.040    472.210   -182.260     78.510    -72.950     71.590
      2.000   -254.500    467.070   -177.250     79.180    -73.700     71.330
      2.071   -248.710    461.690   -172.200     82.560    -78.130     72.370
      2.143   -242.760    456.060   -167.000     84.680    -80.080     72.760
      2.214   -236.600    450.220   -161.720     86.830    -81.600     73.250
      2.286   -230.330    444.240   -156.380     89.450    -83.320     72.210
      2.357   -223.960    438.140   -151.080     92.360    -87.490     72.330
      2.429   -217.610    431.770   -145.810     89.680    -91.460     72.170
      2.500   -211.230    425.130   -140.490     90.360    -93.870     72.570
      2.571   -204.720    418.300   -135.170     92.700    -96.770     73.790
      2.643   -198.130    411.280   -129.820     92.250    -97.140     73.780
      2.714   -191.460    404.210   -124.440     93.110    -98.580     73.570
      2.786   -184.700    397.000   -119.050     94.860   -101.260     75.430
      2.857   -177.850    389.600   -113.520     95.250   -104.460     77.870
      2.929   -170.870    381.970   -107.900     95.750   -105.940     77.260
      3.000   -163.860    374.070   -102.180     96.560   -111.330     79.650
      3.071   -156.710    365.870    -96.310     99.450   -114.150     81.930
      3.143   -149.410    357.490    -90.360    101.880   -118.480     83.350
      3.214   -142.020    348.760    -84.300    103.140   -122.730     84.640
      3.286   -134.510    339.670    -78.080    105.800   -129.160     87.430
      3.357   -126.800    330.110    -71.710    110.220   -135.570     89.950
      3.429   -118.790    320.120    -65.370    113.950   -144.530     88.330
      3.500   -110.540    309.430    -59.150    117.030   -157.820     88.560
      3.571   -102.090    297.850    -52.980    118.110   -170.530     90.460
      3.643    -93.420    285.380    -46.960    122.300   -183.070     86.100
      3.714    -84.420    271.690    -41.150    124.970   -200.660     81.150
      3.786    -75.340    256.420    -35.630    125.360   -227.310     72.620
      3.857    -66.410    239.070    -30.940    122.970   -261.060     54.180
      3.929    -58.450    219.130    -28.220     96.000   -299.320     12.070
      4.000    -53.520    197.850    -29.540     42.700   -285.720    -52.490
      4.071    -51.930    179.390    -34.100     13.440   -229.690    -68.430
      4.143    -50.630    165.350    -39.990     21.160   -187.440    -58.470
      4.214    -49.490    153.330    -43.610     24.940   -158.260    -42.100
      4.286    -48.060    142.920    -46.030     26.370   -136.580    -26.220
      4.357    -46.680    133.970    -47.260     26.560   -116.420    -15.410
      4.429    -45.580    126.330    -47.900     22.660    -99.590     -6.000
      4.500    -44.470    119.910    -48.190     22.550    -83.540     -1.020
      4.571    -43.240    114.450    -48.190     20.890    -68.130      3.780
      4.643    -41.900    108.930    -46.730     14.870    -54.700      9.350
      4.714    -40.860    105.470    -45.980     14.340    -44.190     14.050
      4.786    -39.790    102.810    -45.030     13.740    -31.710     14.300
      4.857    -38.720    100.970    -43.960     16.420    -21.510     17.000
      4.929    -37.530     99.860    -42.810     16.970    -11.570     17.800
      5.000    -36.210     99.370    -41.530     18.780     -3.460     21.920
      5.071    -34.710     99.470    -40.050     20.920      4.930     25.230
      5.143    -33.050    100.130    -38.260     23.250     13.390     28.690
      5.214    -31.270    101.340    -36.150     25.430     19.710     33.770
      5.286    -29.390    103.090    -33.730     27.020     28.580     37.280
      5.357    -27.220    105.490    -31.090     30.850     38.040     41.410
      5.429    -24.890    108.550    -28.060     34.440     46.720     46.860
      5.500    -22.440    112.280    -24.650     38.260     56.020     51.140
      5.571    -19.730    116.880    -20.770     42.900     70.270     58.750
      5.643    -16.660    122.560    -16.380     48.980     86.520     68.850
      5.714    -12.980    129.580    -11.270     60.690    110.180     79.740
      5.786     -8.260    138.630     -5.070     80.880    147.150     99.210
      5.857     -0.430    150.700      3.260    196.440    148.220    134.360
      5.929     10.510    156.750      9.190    120.230     19.590     63.530
      6.000     17.610    157.880     12.160     51.630     -7.050     39.180
      6.071     21.820    156.370     14.010      8.280    -22.150     20.600
